tile_m,tile_n,splitK,bpreshuffle,knl_name,co_name
128,128,1,1,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,fp8gemm_bf16_blockscale_BpreShuffle_128x128.co
32,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,fp8gemm_bf16_blockscale_BpreShuffle_32x128.co
48,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,fp8gemm_bf16_blockscale_BpreShuffle_48x128.co
64,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,fp8gemm_bf16_blockscale_BpreShuffle_64x128.co
80,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,fp8gemm_bf16_blockscale_BpreShuffle_80x128.co
96,128,1,1,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,fp8gemm_bf16_blockscale_BpreShuffle_96x128.co
