gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,64,192,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,289,8,4.3722,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0126,5.76,125.53
gfx950,256,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,7.365,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0305,2.85,2850.03
gfx950,256,16,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,165,16,8.9131,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0292,37.65,2386.89
gfx950,256,32,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,277,16,10.9667,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0306,61.19,1967.57
gfx950,256,64,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,13.6294,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0222,98.48,1627.65
gfx950,256,128,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,15.0329,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0179,178.57,1556.34
gfx950,256,256,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.8414,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0141,284.94,1370.45
gfx950,256,512,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,29.8384,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0061,359.85,1027.9
gfx950,256,1024,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,52.4555,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,409.39,769.61
gfx950,256,2048,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,365,1,76.0093,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,565.06,786.34
gfx950,256,4096,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,75,1,125.2097,flydsl_gemm2_abf16_wbf16_bf16_t128x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,686.04,787.21
gfx950,256,8192,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,170.9303,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1005.08,1030.6
gfx950,256,16384,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,319.2235,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1076.35,1037.99
gfx950,256,32768,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,539.6049,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1273.51,1189.26
gfx950,256,1,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,167,16,9.9782,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k16_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.034,4.2,4205.62
gfx950,256,16,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,11.7557,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,57.09,3597.16
gfx950,256,32,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,8,13.7726,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0223,97.45,3095.36
gfx950,256,64,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,16.2682,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0185,165.01,2662.82
gfx950,256,128,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,21.6899,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0107,247.52,2060.66
gfx950,256,256,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,31.7649,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0061,338.03,1493.73
gfx950,256,512,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,53.2462,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,403.31,994.5
gfx950,256,1024,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,365,1,78.795,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,545.08,811.77
gfx950,256,2048,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,325,1,120.1702,flydsl_gemm2_abf16_wbf16_bf16_t96x128x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,714.81,715.51
gfx950,256,4096,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,163.7211,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1049.34,794.18
gfx950,256,8192,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,312.7178,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1098.75,697.45
gfx950,256,16384,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,515.5546,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1332.92,764.74
gfx950,256,32768,2560,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,965.4849,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1423.52,773.28
gfx950,256,1,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,119,8,22.8083,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0232,5.15,5150.37
gfx950,256,16,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,194,8,25.8218,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,72.77,4567.15
gfx950,256,32,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,176,4,29.7832,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,126.18,3976.19
gfx950,256,64,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,2,34.0572,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0062,220.69,3506.06
gfx950,256,128,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,50.1861,auto,0.0,299.53,2418.45
gfx950,256,256,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,72.0475,auto,0.0,417.29,1739.2
gfx950,256,512,7168,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,109.5379,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,548.94,1215.74
