gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,256,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,331,4,100.3019,flydsl_gemm2_abf16_wbf16_bf16_t96x128x64_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0161,385.38,1612.56
gfx950,256,512,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,365,1,145.7193,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,530.54,1183.72
gfx950,256,1024,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,325,1,251.3842,flydsl_gemm2_abf16_wbf16_bf16_t96x128x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,615.07,771.67
gfx950,256,2048,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,298.7333,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1035.16,793.28
gfx950,256,4096,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,598.5374,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1033.31,539.58
gfx950,256,8192,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,953.3962,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1297.42,519.12
gfx950,256,16384,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1739.3206,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1422.34,482.29
gfx950,256,32768,4608,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,3408.2792,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1451.7,447.95
gfx950,256,1,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,16,65.2799,flydsl_gemm2_abf16_wbf16_bf16_t48x128x128_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.031,4.63,4626.86
gfx950,256,16,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,68.6305,auto,0.0,70.4,4412.16
gfx950,256,32,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,73.2489,auto,0.0,131.93,4145.16
gfx950,256,64,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,241,4,84.768,flydsl_gemm2_abf16_wbf16_bf16_t64x128x64_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0159,228.0,3601.2
gfx950,256,128,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,26,4,110.2749,flydsl_gemm2_abf16_wbf16_bf16_t128x128x64_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0159,350.53,2797.95
gfx950,256,256,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,365,1,153.5055,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,503.63,2052.68
gfx950,256,512,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,325,1,262.2584,flydsl_gemm2_abf16_wbf16_bf16_t96x128x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,589.57,1251.45
gfx950,256,1024,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,286.2339,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1080.37,1238.21
gfx950,256,2048,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,597.7434,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1034.68,680.64
gfx950,256,4096,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,944.2369,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1310.0,541.92
gfx950,256,8192,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1710.6163,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1446.2,421.73
gfx950,256,16384,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,3321.8968,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1489.45,343.43
gfx950,256,32768,9216,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,6749.5084,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1466.12,293.31
gfx950,256,1,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,16,82.8507,flydsl_gemm2_abf16_wbf16_bf16_t48x128x128_split_k16_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0333,5.26,5265.7
gfx950,256,16,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,78.0998,auto,0.0,89.36,5597.43
gfx950,256,32,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,81.5625,auto,0.0,171.14,5371.44
gfx950,256,64,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,221,2,109.5182,flydsl_gemm2_abf16_wbf16_bf16_t64x128x128_split_k2_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0074,254.91,4017.68
gfx950,256,128,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6,2,135.6846,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k2_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0075,411.5,3270.89
gfx950,256,256,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,203.5247,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,548.68,2217.97
gfx950,256,512,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,281.769,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,792.63,1656.02
gfx950,256,1024,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,335.4867,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1331.43,1481.5
gfx950,256,2048,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,643.543,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1388.18,866.83
gfx950,256,4096,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1298.0192,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1376.49,523.47
gfx950,256,8192,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,2452.1446,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1457.26,376.3
gfx950,256,16384,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,4823.026,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1481.81,292.2
gfx950,256,32768,13312,16384,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,9990.3785,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1430.74,238.47
gfx950,256,1,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,89,2,14.8968,flydsl_gemm2_abf16_wbf16_bf16_t16x128x128_split_k2_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0028,4.5,4507.39
gfx950,256,1,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,116,4,25.8661,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0123,5.19,5190.53
gfx950,256,1,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,116,4,38.7993,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.014,5.62,5622.52
gfx950,256,1,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,50.4794,auto,0.0,5.32,5318.7
gfx950,256,1,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,119,8,73.9631,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0237,5.9,5898.44
gfx950,256,1,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,131,4,144.3838,flydsl_gemm2_abf16_wbf16_bf16_t32x128x64_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.019,6.04,6042.93
gfx950,256,16,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,14.4467,auto,0.0,74.32,4686.1
gfx950,256,16,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.7443,auto,0.0,90.44,5680.23
gfx950,256,16,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,37.3119,auto,0.0,93.53,5865.18
gfx950,256,16,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,44.7779,auto,0.0,95.92,6012.38
gfx950,256,16,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,70.9555,auto,0.0,98.36,6161.01
gfx950,256,16,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,116,4,146.0885,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0175,95.55,5981.25
gfx950,256,32,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,14.6697,auto,0.0,146.39,4655.07
gfx950,256,32,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,24.9617,auto,0.0,172.06,5429.46
gfx950,256,32,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,39.4472,auto,0.0,176.93,5566.39
gfx950,256,32,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,47.1387,auto,0.0,182.23,5727.95
gfx950,256,32,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,75.4473,auto,0.0,185.01,5806.81
gfx950,256,32,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,116,4,152.3247,flydsl_gemm2_abf16_wbf16_bf16_t32x128x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0173,183.27,5745.41
gfx950,256,64,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,18.9896,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,226.17,3658.22
gfx950,256,64,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,33.4354,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,256.91,4092.64
gfx950,256,64,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,50.5166,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,276.32,4375.85
gfx950,256,64,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,66.9741,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,256.52,4055.02
gfx950,256,64,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,94.2083,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,296.34,4670.59
gfx950,256,64,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,241,4,172.4583,flydsl_gemm2_abf16_wbf16_bf16_t64x128x64_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0172,323.76,5090.62
gfx950,256,128,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.3261,auto,0.0,368.25,3079.27
gfx950,256,128,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,42.8585,auto,0.0,400.85,3253.98
gfx950,256,128,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,69.0302,auto,0.0,404.42,3244.99
gfx950,256,128,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,81.6344,auto,0.0,420.9,3365.33
gfx950,256,128,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6,2,123.6218,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k2_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0071,451.66,3590.06
gfx950,256,128,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6,2,218.6242,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k2_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0082,510.78,4040.84
gfx950,256,256,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,32.8485,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,523.0,2330.28
gfx950,256,256,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,61.6719,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,557.14,2346.34
gfx950,256,256,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,94.7682,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,589.17,2425.92
gfx950,256,256,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,114.8498,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,598.34,2446.83
gfx950,256,256,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,179.7454,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,621.26,2511.4
gfx950,256,256,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3,1,349.3089,flydsl_gemm2_abf16_wbf16_bf16_t128x128x128_split_k1_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,639.37,2560.59
gfx950,256,512,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,47.2723,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,726.85,1818.89
gfx950,256,512,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,83.3091,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,824.87,1862.81
gfx950,256,512,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,127.3264,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,877.03,1898.25
gfx950,256,512,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,155.7206,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,882.6,1885.44
gfx950,256,512,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,235.6216,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,947.87,1980.36
gfx950,256,512,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,459.4132,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,972.28,1994.84
